File: ds2-linux
Build ID: 3a9eca411e2450065abaf1942fea5d6637aca50b
Type: cpu
Time: 2026-03-02 16:32:23 CST
Duration: 18.99s, Total samples = 410ms ( 2.16%)
Showing nodes accounting for 410ms, 100% of 410ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%      270ms 65.85%  DockSTARTer2/cmd.Execute
         0     0%     0%      270ms 65.85%  DockSTARTer2/internal/tui.Start
         0     0%     0%      270ms 65.85%  charm.land/bubbletea/v2.(*Program).Run
         0     0%     0%      270ms 65.85%  main.main
         0     0%     0%      270ms 65.85%  main.run
         0     0%     0%      270ms 65.85%  runtime.main
         0     0%     0%      260ms 63.41%  DockSTARTer2/internal/tui.(*AppModel).View
         0     0%     0%      260ms 63.41%  charm.land/bubbletea/v2.(*Program).eventLoop
         0     0%     0%      260ms 63.41%  charm.land/bubbletea/v2.(*Program).render
         0     0%     0%      140ms 34.15%  DockSTARTer2/internal/tui.(*MenuModel).ViewString
         0     0%     0%      120ms 29.27%  github.com/charmbracelet/x/ansi.StringWidth (inline)
      30ms  7.32%  7.32%      120ms 29.27%  github.com/charmbracelet/x/ansi.stringWidth
         0     0%  7.32%       90ms 21.95%  runtime.mcall
         0     0%  7.32%       90ms 21.95%  runtime.park_m
         0     0%  7.32%       90ms 21.95%  runtime.schedule
         0     0%  7.32%       80ms 19.51%  charm.land/lipgloss/v2.Width
         0     0%  7.32%       80ms 19.51%  charm.land/lipgloss/v2.Width-range1 (inline)
         0     0%  7.32%       80ms 19.51%  charm.land/lipgloss/v2.Width.SplitSeq.splitSeq.func1 (inline)
      10ms  2.44%  9.76%       80ms 19.51%  runtime.findRunnable
         0     0%  9.76%       70ms 17.07%  DockSTARTer2/internal/tui.(*MenuModel).Layers
         0     0%  9.76%       70ms 17.07%  DockSTARTer2/internal/tui/screens.(*MainMenuScreen).ViewString
         0     0%  9.76%       60ms 14.63%  DockSTARTer2/internal/tui.(*HeaderModel).ViewString
         0     0%  9.76%       60ms 14.63%  DockSTARTer2/internal/tui/screens.(*MainMenuScreen).Layers
      10ms  2.44% 12.20%       60ms 14.63%  charm.land/lipgloss/v2.Style.Render
         0     0% 12.20%       60ms 14.63%  runtime.systemstack
         0     0% 12.20%       50ms 12.20%  DockSTARTer2/internal/tui.AddShadow
         0     0% 12.20%       50ms 12.20%  DockSTARTer2/internal/tui.AddShadowCtx
      10ms  2.44% 14.63%       50ms 12.20%  DockSTARTer2/internal/tui.menuItemDelegate.Render
         0     0% 14.63%       50ms 12.20%  charm.land/bubbles/v2/list.Model.View
         0     0% 14.63%       50ms 12.20%  charm.land/bubbles/v2/list.Model.populatedView
      10ms  2.44% 17.07%       50ms 12.20%  github.com/charmbracelet/x/ansi.FirstGraphemeCluster[go.shape.string]
         0     0% 17.07%       40ms  9.76%  DockSTARTer2/internal/tui.(*HeaderModel).Height
         0     0% 17.07%       40ms  9.76%  DockSTARTer2/internal/tui.HeaderModel.renderVersions
         0     0% 17.07%       40ms  9.76%  DockSTARTer2/internal/tui.MaintainBackground
         0     0% 17.07%       40ms  9.76%  DockSTARTer2/internal/tui.RenderThemeText
         0     0% 17.07%       40ms  9.76%  DockSTARTer2/internal/tui.WidthWithoutZones (inline)
         0     0% 17.07%       40ms  9.76%  charm.land/lipgloss/v2.(*Layer).AddLayers
         0     0% 17.07%       40ms  9.76%  charm.land/lipgloss/v2.(*Layer).boundsWithOffset
      40ms  9.76% 26.83%       40ms  9.76%  github.com/charmbracelet/x/ansi/parser.TransitionTable.Transition (inline)
         0     0% 26.83%       40ms  9.76%  runtime.gcBgMarkWorker
         0     0% 26.83%       40ms  9.76%  runtime.gcBgMarkWorker.func2
         0     0% 26.83%       40ms  9.76%  runtime.gcDrain
         0     0% 26.83%       40ms  9.76%  runtime.mallocgc
         0     0% 26.83%       30ms  7.32%  DockSTARTer2/internal/paths.GetTemplatesVersion
         0     0% 26.83%       30ms  7.32%  DockSTARTer2/internal/tui.(*BackdropModel).Layers
         0     0% 26.83%       30ms  7.32%  charm.land/lipgloss/v2.NewLayer (inline)
         0     0% 26.83%       30ms  7.32%  charm.land/lipgloss/v2.getLines
         0     0% 26.83%       30ms  7.32%  github.com/clipperhouse/uax29/v2/graphemes.(*Iterator[go.shape.string]).First
      20ms  4.88% 31.71%       30ms  7.32%  github.com/clipperhouse/uax29/v2/graphemes.(*Iterator[go.shape.string]).Next
         0     0% 31.71%       30ms  7.32%  github.com/go-git/go-git/v5.(*Repository).Tags
         0     0% 31.71%       30ms  7.32%  github.com/go-git/go-git/v5/storage/filesystem.(*ReferenceStorage).IterReferences
